Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,deployment,n_samples,num_shots,prompt_name,seed,segmenter,split,temperature,exact_match/mean,f1_score/mean,negative_ratio/mean,positive_ratio/mean,precision/mean,recall/mean
2024-09-14 22:46:43,12.4min,06cad34106534d81a5cf060902e2f91d,Meta-Llama-3.1-70B-Instruct-loft-50shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,50,loft,5,spacy,test,0.1,0.8065,0.9375991776296752,0.9064333333333333,1.0455666666666668,0.9003666666666668,0.9849333333333334
2024-09-14 22:34:11,12.5min,95625a96312948f5b9fc56638cda8348,Meta-Llama-3.1-70B-Instruct-loft-50shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,50,loft,4,spacy,test,0.1,0.7986333333333333,0.9385812143278972,0.9073333333333333,1.0394333333333332,0.9023,0.9852
2024-09-14 22:21:44,12.4min,ff389d171b6a4079b0badb329f4b9522,Meta-Llama-3.1-70B-Instruct-loft-50shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,50,loft,3,spacy,test,0.1,0.8033333333333333,0.934552475986355,0.9212666666666667,1.0447000000000002,0.8964333333333333,0.9833666666666666
2024-09-14 22:09:05,12.6min,e311fd853c174ab68c4ea9a90405b9dc,Meta-Llama-3.1-70B-Instruct-loft-50shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,50,loft,2,spacy,test,0.1,0.8146666666666667,0.9384246690880717,0.9177666666666666,1.0478,0.9021333333333333,0.9858999999999999
2024-09-14 22:07:17,11.3min,b4a7815008444c398d16eb2e03fe7a78,Meta-Llama-3.1-70B-Instruct-loft-50shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,50,loft,5,window,test,0.1,0.6867333333333334,0.9146258653473806,0.8631,1.0082333333333333,0.8692666666666667,0.9747333333333333
2024-09-14 21:56:23,12.7min,e80313d3be3e41bcad389d99e8120c2b,Meta-Llama-3.1-70B-Instruct-loft-50shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,50,loft,1,spacy,test,0.1,0.7908000000000001,0.9332831570745448,0.9065,1.0557333333333334,0.8941666666666667,0.9841666666666666
2024-09-14 21:55:52,11.4min,3bdeb997c8fc4200a3d670f36b0596be,Meta-Llama-3.1-70B-Instruct-loft-50shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,50,loft,4,window,test,0.1,0.6702,0.9081780730538415,0.8256666666666667,1.0126000000000002,0.8588,0.9726000000000001
2024-09-14 21:45:15,11.1min,d096cb31aebc42eea27667e397dce042,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,5,spacy,test,0.1,0.7751666666666667,0.9333192800153705,0.9096,1.0256999999999998,0.8960333333333333,0.9810666666666666
2024-09-14 21:44:29,11.4min,5a93c0a3f3ba4674960126d37e7dba35,Meta-Llama-3.1-70B-Instruct-loft-50shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,50,loft,3,window,test,0.1,0.6730666666666666,0.9093296335066615,0.8517666666666667,1.0199666666666667,0.8634333333333334,0.9705666666666667
2024-09-14 21:34:17,11.0min,a876277149724586adcb821106a11a3c,Meta-Llama-3.1-70B-Instruct-loft-25shots,LOCAL,scripts/benchmark_alignment.py,amo,FINISHED,meta-llama/Meta-Llama-3.1-70B-Instruct,300,25,loft,4,spacy,test,0.1,0.7788666666666667,0.9310919629291766,0.9094333333333333,1.0219666666666667,0.8958333333333334,0.9779999999999999
